"id_transacao";"data_hora";"dispositivo";"valor_solic";"valor_aut";"status";"ag_financeiro"
1;"2020-06-01 12:07:14";780;1242.05;0.0;1;3
2;"2020-06-01 04:37:43";538;2647.34;0.0;2;2
3;"2020-06-01 22:21:29";114;8041.88;0.0;1;1
4;"2020-06-01 18:09:58";132;9458.39;0.0;1;4
5;"2020-06-01 13:52:06";65;3286.6;0.0;2;8
6;"2020-06-01 07:52:01";157;7848.35;0.0;2;2
7;"2020-06-01 21:48:45";122;2832.67;0.0;1;5
8;"2020-06-01 19:12:29";831;5645.4;0.0;2;4
9;"2020-06-01 18:41:34";892;490.28;0.0;1;5
10;"2020-06-01 14:41:59";552;2982.89;0.0;2;10
11;"2020-06-01 14:47:03";238;808.67;808.67;0;7
12;"2020-06-01 15:46:23";405;7909.05;0.0;1;5
13;"2020-06-01 18:16:10";517;2763.3;0.0;1;6
14;"2020-06-01 18:31:38";170;6370.13;0.0;2;6
15;"2020-06-01 06:32:46";464;5251.88;0.0;2;6
16;"2020-06-01 07:32:02";72;155.73;155.73;0;9
17;"2020-06-01 19:30:07";403;9583.48;0.0;2;4
18;"2020-06-01 12:12:09";379;7033.46;0.0;1;6
19;"2020-06-01 11:40:50";770;6028.5;0.0;1;4
20;"2020-06-01 21:30:00";545;979.24;979.24;0;4
21;"2020-06-01 05:53:45";900;779.68;0.0;2;4
22;"2020-06-01 13:06:35";755;881.59;0.0;1;1
23;"2020-06-01 05:58:57";624;8793.96;8793.96;0;3
24;"2020-06-01 20:08:04";357;3392.09;3392.09;0;8
25;"2020-06-01 12:40:59";342;3793.98;0.0;1;7
26;"2020-06-01 08:10:47";937;8853.33;8853.33;0;4
27;"2020-06-01 09:43:03";252;1475.86;0.0;2;9
28;"2020-06-01 14:03:16";996;9227.31;0.0;1;4
29;"2020-06-01 01:57:59";659;967.0;0.0;1;6
30;"2020-06-01 12:05:36";716;2512.3;0.0;2;7
31;"2020-06-01 13:24:24";766;8845.55;0.0;1;7
32;"2020-06-01 16:54:28";619;7927.87;7927.87;0;8
33;"2020-06-01 05:37:00";715;1298.15;0.0;1;10
34;"2020-06-01 09:12:25";553;5522.62;0.0;2;2
35;"2020-06-01 18:04:36";123;2371.8;0.0;2;4
36;"2020-06-01 09:50:34";361;2500.82;2500.82;0;6
37;"2020-06-01 00:21:44";357;2717.25;2717.25;0;10
38;"2020-06-01 07:51:28";735;7793.96;7793.96;0;10
39;"2020-06-01 12:33:49";369;8551.88;8551.88;0;2
40;"2020-06-01 22:11:00";148;4409.08;0.0;2;1
41;"2020-06-01 10:01:51";854;9368.89;9368.89;0;3
42;"2020-06-01 12:59:33";879;5369.84;0.0;1;9
43;"2020-06-01 09:14:56";736;7736.39;7736.39;0;6
44;"2020-06-01 01:14:10";765;2349.06;2349.06;0;7
45;"2020-06-01 12:24:09";716;8381.03;8381.03;0;3
46;"2020-06-01 23:28:28";121;6813.14;0.0;1;9
47;"2020-06-01 22:30:51";119;2624.28;0.0;1;9
48;"2020-06-01 10:57:29";522;6316.23;0.0;1;9
49;"2020-06-01 16:24:21";102;9588.08;9588.08;0;8
50;"2020-06-01 19:23:56";900;4873.81;0.0;1;2
51;"2020-06-01 11:38:29";125;6836.87;0.0;2;3
52;"2020-06-01 01:01:06";232;6705.58;0.0;2;3
53;"2020-06-01 07:49:29";354;164.89;0.0;1;4
54;"2020-06-01 03:50:20";468;9382.16;0.0;1;10
55;"2020-06-01 10:41:27";409;7934.48;0.0;1;7
56;"2020-06-01 13:51:17";230;2070.96;0.0;2;5
57;"2020-06-01 09:59:49";897;8052.04;8052.04;0;7
58;"2020-06-01 10:12:04";16;406.73;0.0;2;2
59;"2020-06-01 02:28:56";914;1632.0;1632.0;0;5
60;"2020-06-01 08:12:56";505;3981.72;0.0;2;3
61;"2020-06-01 17:45:15";820;3413.98;0.0;2;5
62;"2020-06-01 03:25:11";301;9748.87;0.0;1;7
63;"2020-06-01 05:55:32";883;4799.78;4799.78;0;9
64;"2020-06-01 01:33:31";773;3167.02;3167.02;0;6
65;"2020-06-01 02:21:22";940;6170.5;0.0;2;8
66;"2020-06-01 18:31:56";106;3817.08;0.0;1;3
67;"2020-06-01 13:36:49";182;4103.71;0.0;1;10
68;"2020-06-01 08:29:20";413;7827.58;0.0;1;3
69;"2020-06-01 03:11:56";930;9878.39;9878.39;0;3
70;"2020-06-01 20:14:57";654;1832.0;0.0;1;8
71;"2020-06-01 13:58:27";471;4843.59;0.0;2;1
72;"2020-06-01 11:57:21";686;2621.71;2621.71;0;5
73;"2020-06-01 08:24:14";369;7913.83;0.0;1;9
74;"2020-06-01 18:17:08";305;159.14;159.14;0;6
75;"2020-06-01 09:35:53";159;691.37;0.0;1;4
76;"2020-06-01 03:31:06";542;5396.9;0.0;1;6
77;"2020-06-01 19:37:40";78;7017.53;0.0;1;5
78;"2020-06-01 07:31:32";356;6349.14;6349.14;0;2
